UserID,OrderID,OrderDate,PropertyID,ProductID,Quantity
926,1,01-01-2015,17,41,1
905,2,01-01-2015,15,54,2
1283,3,01-01-2015,5,71,2
1293,4,01-01-2015,19,3,2
379,5,01-01-2015,12,45,3
130,6,01-01-2015,6,94,2
595,7,01-01-2015,5,35,2
1427,8,02-01-2015,16,93,1
524,9,02-01-2015,4,93,3
67,10,02-01-2015,2,61,2
14,11,02-01-2015,2,24,1
1383,12,02-01-2015,8,23,1
188,13,02-01-2015,12,24,2
914,14,03-01-2015,4,94,3
1014,15,03-01-2015,16,20,2
1008,16,03-01-2015,2,94,3
924,17,03-01-2015,19,84,1
375,18,03-01-2015,9,89,2
37,19,03-01-2015,20,21,3
361,20,03-01-2015,1,6,1
1012,21,03-01-2015,8,57,3
949,22,03-01-2015,4,70,2
1123,23,04-01-2015,17,24,1
548,24,04-01-2015,14,23,2
1161,25,04-01-2015,12,52,1
801,26,04-01-2015,17,84,2
634,27,04-01-2015,10,74,1
1273,28,05-01-2015,10,33,3
517,29,05-01-2015,5,73,2
1370,30,05-01-2015,2,5,1
940,31,05-01-2015,11,79,2
186,32,06-01-2015,20,44,1
187,33,06-01-2015,9,64,1
569,34,06-01-2015,18,10,2
164,35,06-01-2015,1,87,1
1275,36,06-01-2015,2,37,2
215,37,06-01-2015,3,23,3
536,38,06-01-2015,8,37,3
244,39,06-01-2015,10,30,3
890,40,06-01-2015,19,83,2
431,41,07-01-2015,13,19,2
247,42,07-01-2015,10,27,2
1357,43,07-01-2015,5,87,3
636,44,07-01-2015,1,19,2
1272,45,07-01-2015,9,23,2
977,46,08-01-2015,6,28,2
1291,47,08-01-2015,14,47,3
645,48,08-01-2015,18,58,1
467,49,08-01-2015,15,13,3
1173,50,08-01-2015,19,91,2
118,51,08-01-2015,5,67,2
265,52,08-01-2015,10,25,3
178,53,09-01-2015,8,51,3
1314,54,09-01-2015,5,24,2
483,55,09-01-2015,14,8,3
868,56,10-01-2015,16,70,3
510,57,10-01-2015,19,41,2
515,58,10-01-2015,19,42,1
1073,59,10-01-2015,13,93,2
535,60,10-01-2015,13,42,2
1201,61,10-01-2015,1,18,3
414,62,10-01-2015,2,59,1
712,63,10-01-2015,7,19,2
781,64,11-01-2015,1,73,2
1356,65,11-01-2015,6,83,1
707,66,11-01-2015,3,74,1
1454,67,11-01-2015,5,70,2
786,68,11-01-2015,6,84,3
867,69,11-01-2015,2,48,2
430,70,11-01-2015,14,65,1
876,71,12-01-2015,19,30,1
809,72,12-01-2015,10,36,1
916,73,12-01-2015,11,25,3
289,74,12-01-2015,17,16,3
412,75,12-01-2015,3,27,2
301,76,12-01-2015,2,44,1
